Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,Source
,RT @cbgsbtchh: MOAS REMEMBER WE ARE ON TXT LOCKDOWN. If you ever see some antis shitting on xtx pls block and report. We should not be dist…,2021-05-01 06:52:23,1388385797619929088,f4irryeon,,"꒰ SHE /HER 🍓🗒️!! ꒱ . . . I'm brutally in love with you ♡ TOMORROW X TOGETHER！(ノ﹏ヽ) every day I smile, and you are the reason ☺︎/☺︎ 계속 그렇게 빛나! ★ ¡!
",True,47,0,en,Twitter for Android
,@Shantanu_katre @TimesNow Don't the state government have any role in health of public. How is MODI responsible for… https://t.co/hkkRQ9Dlu0,2021-05-01 06:52:23,1388385797267759105,Sanskrithi_S,,,False,0,0,en,Twitter for Android
,"@uchenni @priyankac19 @IndianExpress But @OfficeofUT was never in support of complete lockdown in his state.?
Pleas… https://t.co/uia2GVtGqO",2021-05-01 06:52:23,1388385796823011328,Keshavm73320263,,Delhi,False,0,0,en,Twitter for iPhone
,@prpoi_india @jha_vasudha @jasonthegoo @chaituk07 @chakranuya @ayushmanbasu @ItsKritikalTime @_swatiluthra… https://t.co/mgRdd0pOJU,2021-05-01 06:52:23,1388385795753447424,mindtweak123,,Bangalore,True,2,6,en,Twitter Web App
,@vikramchandra And our leader goes to a gurudwara defying lockdown/curfew ... What the hell is happening ?,2021-05-01 06:52:22,1388385792326660096,kewalkaul,,"Gurgaon, India",True,0,0,en,Twitter for iPhone
,"Hello 👋 Everyone 
Hope All well 

Feeling bored in Lockdown?
No worries, Music is Best Remedies 🎧
Now You can Party… https://t.co/w4raJITVJj",2021-05-01 06:52:22,1388385791982792716,djrajmumbai,,"Mumbai, India",False,0,0,en,Twitter for iPhone
,RT @TOIIndiaNews: Fauci suggests a few weeks' lockdown in India to break chain of coronavirus transmission https://t.co/lIsHUcLUnf,2021-05-01 06:52:22,1388385791164956676,henne38,,berlin - Germany,True,33,0,en,Twitter Web App
,"RT @robinmonotti2: #INDIA: The reality of #lockdown in #Bengaluru. Is ""lockdown"" just for TV &amp; news fear factor?  https://t.co/6C5GS8gzWR",2021-05-01 06:52:22,1388385790955335680,MiakimberleyS,,,False,167,0,en,Twitter for iPhone
,"RT @Aadil_Abuarwaa: So , Fauci has said that india should completely lockdown and do war-like preparation . Same has been shouted out by ma…",2021-05-01 06:52:22,1388385790426697730,Alialtaf05,,kashmir,True,1,0,en,Twitter for Android
,"RT @ZaidZamanHamid: In India frustrated and angry people have had enough..
Beating the police and Army for covid lockdown and mask enforcem…",2021-05-01 06:52:20,1388385784684761089,MirzaPakistanii,,"Islamabad, Pakistan",False,311,0,en,Twitter for Android
,"RT @missmishma: India is in a ""desperate"" situation, Dr. Fauci told me over the phone yesterday. His prescription? Lockdown for a few weeks…",2021-05-01 06:52:19,1388385781102702592,prakashd,,Germany,False,270,0,en,Twitter for Android
,"RT @WinstonCProject: ""Johnson ruled out lockdown 24 hours after meeting with Sunetra Gupta – resulting in ‘1.3m extra COVID infections’.""…",2021-05-01 06:52:19,1388385779337121793,UnwinPaul,,leave a light on ,True,110,0,en,Twitter for iPhone
,"RT @RakeshBVM: Cental Govt. is responsible for the death of labours during lockdown.

#RestoreLabourLaws 
#RestoreLabourLaws
#RestoreLabour…",2021-05-01 06:52:19,1388385777650782208,BMM_BAMCEF,,Mumbai,False,147,0,en,Twitter for Android
,that's too much of a ride this day since lockdown 😂 didn't know I have to go back in forth 😅,2021-05-01 06:52:18,1388385776971304962,iamcielograce,,Wonderland,True,0,0,en,Twitter for Android
,"RT @SizweLo: Sweden never had a lockdown. On the other hand, the countries that have had lockdowns... https://t.co/MhvrGI7IDR",2021-05-01 06:52:18,1388385776333955074,KaiLightBringer,,UnPluGGeD,False,58,0,en,Twitter for Android
,RT @NickMixmag: Dunno if it’s from the gin last night but I’m actually welling up reading Mixmag’s report from the first club event since l…,2021-05-01 06:52:14,1388385759841996801,aaron_brodley7,,Edinburgh,True,6,0,en,Twitter for iPhone
,@ananya116 we don't want lockdown it will kill people economically if not gor covid. Those who are supporting lockd… https://t.co/piFPtvWtBI,2021-05-01 06:52:14,1388385757702737926,Eman88560605,,,True,0,0,en,Twitter Web App
,"RT @MamataOfficial: On #InternationalWorkersDay, greetings to all workers around the world &amp; their families. #GoWB stood by them during the…",2021-05-01 06:52:14,1388385757371326469,NitishS720677,,,False,213,0,en,Twitter for Android
