Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,Source
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:19:17,1388362367461859332,deepti_Ind_AG,,"🇮🇳,🌎",False,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:19:17,1388362365427613698,sarkar_sahab,,,True,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:19:14,1388362355323510784,AtharvPatil10,,,False,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:19:12,1388362347090116608,Monty95033494,,,False,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:19:05,1388362316056387586,Nitin39475492,,,False,3508,0,en,Twitter Web App
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:19:05,1388362314961747972,alfabitagama007,,भारत,False,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:19:04,1388362311136514051,shashank_tri,,लिबरेन्दुओ KMKB,False,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:19:00,1388362293734346753,RupeshRSalunke2,,"Kanjurmarg, Mumbai",False,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:18:58,1388362286956302337,bakkbsdk,,,True,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:18:53,1388362266521780224,rohithiware,,India,False,3508,0,en,Twitter Web App
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:18:51,1388362257461964804,Kushwaha_RT,,"Bihar, India",False,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:18:51,1388362257197768704,UltraEnemy,,,False,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:18:38,1388362202244018179,Ched_cho,,,False,3508,0,en,Twitter for Android
,"I'm a bit sad this morning, ndiyagowisha. But listen to @LoyisoGijana makes me a lil better. I swear he can cure th… https://t.co/DyBmHIbz4s",2021-05-01 05:18:37,1388362198746009603,MathabaJorge,,"Cape Town, South Africa",True,80,235,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:18:35,1388362190722273286,maddashubham,,"Solapur, India",True,3508,0,en,Twitter for Android
,@SusanStJames3_ They are overwhelmed with the corona virus and people are dying in the hundreds!,2021-05-01 05:18:32,1388362176654675968,flowerfire,,"Virginia, USA",True,0,0,en,Twitter for iPhone
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:18:31,1388362175526313985,Ram_Saraswat34,,,False,3508,0,en,Twitter Web App
,May 1st is celebrated as International Labor Day. The corona virus outbreak has brought the world to a standstill..… https://t.co/jiBiIQd7WU,2021-05-01 05:18:28,1388362161332756481,gisGurugram,,gurugram,True,1,1,en,Twitter for iPad
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:18:27,1388362155578200066,minaket72752059,,,False,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:18:23,1388362139237158914,rightretweeter,,India,True,3508,0,en,Twitter for Android
,Can I have my taste buds and smell back....PLEASE??!! 😡 puto Corona virus TE ODIO MALDITOOOOO,2021-05-01 05:18:23,1388362138843033601,Eveee_t14,,TX.,True,0,0,en,Twitter for iPhone
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:18:22,1388362137676894211,ndtvrndtv,,,False,3508,0,en,Twitter for Android
,"Except Modi haters, Break India gang and Anti nationals, entire nation is with Modiji. We will win the war against… https://t.co/KSqYNgXvp3",2021-05-01 05:18:21,1388362131725160449,bharatheeya70,,"JAMBHU  dweepe, BHARATA Varshe",False,29,47,en,Twitter Web App
